time,value
1955-01-01,101.5181
1955-02-01,101.88
1955-03-01,102.1793
1955-04-01,102.3894
1955-05-01,102.5098
1955-06-01,102.5479
1955-07-01,102.5473
1955-08-01,102.5292
1955-09-01,102.4993
1955-10-01,102.4414
1955-11-01,102.321
1955-12-01,102.1132
1956-01-01,101.8112
1956-02-01,101.4612
1956-03-01,101.1183
1956-04-01,100.7984
1956-05-01,100.5213
1956-06-01,100.3312
1956-07-01,100.2629
1956-08-01,100.3172
1956-09-01,100.4382
1956-10-01,100.5658
1956-11-01,100.6498
1956-12-01,100.642
1957-01-01,100.5226
1957-02-01,100.3373
1957-03-01,100.0911
1957-04-01,99.82289
1957-05-01,99.5618
1957-06-01,99.28282
1957-07-01,98.95139
1957-08-01,98.54592
1957-09-01,98.06974
1957-10-01,97.56928
1957-11-01,97.11655
1957-12-01,96.76703
1958-01-01,96.58338
1958-02-01,96.60128
1958-03-01,96.8157
1958-04-01,97.2013
1958-05-01,97.74191
1958-06-01,98.38682
1958-07-01,99.06802
1958-08-01,99.7412
1958-09-01,100.3866
1958-10-01,101.005
1958-11-01,101.5839
1958-12-01,102.1115
1959-01-01,102.5877
1959-02-01,102.9672
1959-03-01,103.2074
1959-04-01,103.2824
1959-05-01,103.1846
1959-06-01,102.9248
1959-07-01,102.5471
1959-08-01,102.1284
1959-09-01,101.742
1959-10-01,101.4308
1959-11-01,101.2022
1959-12-01,101.0219
1960-01-01,100.7913
1960-02-01,100.4775
1960-03-01,100.13
1960-04-01,99.80167
1960-05-01,99.51498
1960-06-01,99.26485
1960-07-01,99.03004
1960-08-01,98.80806
1960-09-01,98.58904
1960-10-01,98.40182
1960-11-01,98.27985
1960-12-01,98.25921
1961-01-01,98.35934
1961-02-01,98.60082
1961-03-01,98.96957
1961-04-01,99.41222
1961-05-01,99.8633
1961-06-01,100.2826
1961-07-01,100.643
1961-08-01,100.937
1961-09-01,101.1508
1961-10-01,101.2823
1961-11-01,101.3378
1961-12-01,101.3042
1962-01-01,101.1734
1962-02-01,100.9645
1962-03-01,100.68
1962-04-01,100.3465
1962-05-01,100.0096
1962-06-01,99.71618
1962-07-01,99.51366
1962-08-01,99.41113
1962-09-01,99.40649
1962-10-01,99.4856
1962-11-01,99.62986
1962-12-01,99.80386
1963-01-01,99.97603
1963-02-01,100.1256
1963-03-01,100.244
1963-04-01,100.3271
1963-05-01,100.359
1963-06-01,100.3393
1963-07-01,100.2903
1963-08-01,100.2396
1963-09-01,100.212
1963-10-01,100.2032
1963-11-01,100.2083
1963-12-01,100.241
1964-01-01,100.313
1964-02-01,100.4007
1964-03-01,100.4973
1964-04-01,100.5928
1964-05-01,100.6804
1964-06-01,100.7593
1964-07-01,100.8252
1964-08-01,100.8692
1964-09-01,100.9128
1964-10-01,100.9619
1964-11-01,101.0335
1964-12-01,101.1188
1965-01-01,101.1941
1965-02-01,101.2386
1965-03-01,101.2396
1965-04-01,101.1936
1965-05-01,101.1195
1965-06-01,101.0509
1965-07-01,101.0262
1965-08-01,101.0658
1965-09-01,101.1763
1965-10-01,101.3457
1965-11-01,101.5463
1965-12-01,101.7383
1966-01-01,101.8737
1966-02-01,101.905
1966-03-01,101.806
1966-04-01,101.5796
1966-05-01,101.2514
1966-06-01,100.8845
1966-07-01,100.5094
1966-08-01,100.1463
1966-09-01,99.80003
1966-10-01,99.46512
1966-11-01,99.15511
1966-12-01,98.89102
1967-01-01,98.69837
1967-02-01,98.59546
1967-03-01,98.61369
1967-04-01,98.75685
1967-05-01,99.01114
1967-06-01,99.32847
1967-07-01,99.66831
1967-08-01,99.99564
1967-09-01,100.2772
1967-10-01,100.5007
1967-11-01,100.6617
1967-12-01,100.7618
1968-01-01,100.7978
1968-02-01,100.8009
1968-03-01,100.7923
1968-04-01,100.7843
1968-05-01,100.785
1968-06-01,100.8088
1968-07-01,100.8701
1968-08-01,100.9807
1968-09-01,101.1406
1968-10-01,101.3
1968-11-01,101.4
1968-12-01,101.4194
1969-01-01,101.363
1969-02-01,101.2394
1969-03-01,101.0587
1969-04-01,100.8224
1969-05-01,100.5364
1969-06-01,100.2471
1969-07-01,99.99117
1969-08-01,99.77809
1969-09-01,99.5844
1969-10-01,99.37455
1969-11-01,99.12843
1969-12-01,98.84161
1970-01-01,98.52259
1970-02-01,98.20658
1970-03-01,97.92451
1970-04-01,97.70325
1970-05-01,97.57268
1970-06-01,97.52419
1970-07-01,97.52792
1970-08-01,97.57483
1970-09-01,97.68336
1970-10-01,97.88658
1970-11-01,98.22327
1970-12-01,98.68475
1971-01-01,99.18701
1971-02-01,99.63544
1971-03-01,99.97045
1971-04-01,100.1884
1971-05-01,100.3
1971-06-01,100.3384
1971-07-01,100.3463
1971-08-01,100.3693
1971-09-01,100.455
1971-10-01,100.6384
1971-11-01,100.9333
1971-12-01,101.3199
1972-01-01,101.7248
1972-02-01,102.0859
1972-03-01,102.3682
1972-04-01,102.5757
1972-05-01,102.7346
1972-06-01,102.8749
1972-07-01,103.0338
1972-08-01,103.2356
1972-09-01,103.4585
1972-10-01,103.6665
1972-11-01,103.831
1972-12-01,103.9152
1973-01-01,103.8938
1973-02-01,103.7557
1973-03-01,103.4973
1973-04-01,103.1367
1973-05-01,102.7141
1973-06-01,102.2814
1973-07-01,101.8846
1973-08-01,101.5584
1973-09-01,101.3073
1973-10-01,101.1077
1973-11-01,100.9096
1973-12-01,100.6938
1974-01-01,100.4701
1974-02-01,100.212
1974-03-01,99.89854
1974-04-01,99.51298
1974-05-01,99.06383
1974-06-01,98.5656
1974-07-01,98.03315
1974-08-01,97.47059
1974-09-01,96.88951
1974-10-01,96.34491
1974-11-01,95.88566
1974-12-01,95.58026
1975-01-01,95.49023
1975-02-01,95.60464
1975-03-01,95.89045
1975-04-01,96.31225
1975-05-01,96.80457
1975-06-01,97.32114
1975-07-01,97.83104
1975-08-01,98.30902
1975-09-01,98.75289
1975-10-01,99.17437
1975-11-01,99.58641
1975-12-01,99.9965
1976-01-01,100.3881
1976-02-01,100.7175
1976-03-01,100.9512
1976-04-01,101.0909
1976-05-01,101.1504
1976-06-01,101.1576
1976-07-01,101.137
1976-08-01,101.1057
1976-09-01,101.093
1976-10-01,101.1232
1976-11-01,101.2206
1976-12-01,101.3788
1977-01-01,101.5666
1977-02-01,101.7593
1977-03-01,101.9286
1977-04-01,102.0412
1977-05-01,102.0896
1977-06-01,102.0744
1977-07-01,102.0083
1977-08-01,101.9131
1977-09-01,101.8173
1977-10-01,101.7374
1977-11-01,101.6749
1977-12-01,101.6355
1978-01-01,101.6306
1978-02-01,101.6702
1978-03-01,101.7886
1978-04-01,101.9565
1978-05-01,102.1262
1978-06-01,102.2537
1978-07-01,102.314
1978-08-01,102.2973
1978-09-01,102.2059
1978-10-01,102.0473
1978-11-01,101.8441
1978-12-01,101.634
1979-01-01,101.4484
1979-02-01,101.2686
1979-03-01,101.0627
1979-04-01,100.8165
1979-05-01,100.5488
1979-06-01,100.271
1979-07-01,99.99687
1979-08-01,99.73831
1979-09-01,99.48539
1979-10-01,99.21745
1979-11-01,98.93228
1979-12-01,98.63705
1980-01-01,98.33367
1980-02-01,98.00493
1980-03-01,97.69255
1980-04-01,97.52279
1980-05-01,97.5892
