time,value
1990-01,100.1749
1990-02,100.0462
1990-03,99.9791
1990-04,99.91734
1990-05,99.82787
1990-06,99.69172
1990-07,99.4905
1990-08,99.24136
1990-09,98.99078
1990-10,98.80205
1990-11,98.72927
1990-12,98.78459
1991-01,98.93552
1991-02,99.13383
1991-03,99.32825
1991-04,99.47964
1991-05,99.54589
1991-06,99.48362
1991-07,99.30914
1991-08,98.99862
1991-09,98.66916
1991-10,98.35411
1991-11,98.04919
1991-12,97.77264
1992-01,97.5555
1992-02,97.40602
1992-03,97.33401
1992-04,97.28938
1992-05,97.25575
1992-06,97.23196
1992-07,97.23495
1992-08,97.28814
1992-09,97.41122
1992-10,97.59219
1992-11,97.81092
1992-12,98.02869
1993-01,98.21252
1993-02,98.38037
1993-03,98.56309
1993-04,98.78741
1993-05,99.04196
1993-06,99.31731
1993-07,99.60153
1993-08,99.88545
1993-09,100.1605
1993-10,100.414
1993-11,100.6365
1993-12,100.8207
1994-01,100.9643
1994-02,101.0982
1994-03,101.2407
1994-04,101.3963
1994-05,101.5452
1994-06,101.6843
1994-07,101.8283
1994-08,101.9813
1994-09,102.1425
1994-10,102.2999
1994-11,102.4066
1994-12,102.4243
1995-01,102.3548
1995-02,102.4854
1995-03,102.5662
1995-04,102.5983
1995-05,102.5884
1995-06,102.5436
1995-07,102.4619
1995-08,102.3433
1995-09,102.1936
1995-10,102.0126
1995-11,101.8037
1995-12,101.5637
1996-01,101.2979
1996-02,101.0068
1996-03,100.6666
1996-04,100.2549
1996-05,99.775
1996-06,99.26364
1996-07,98.76758
1996-08,98.32865
1996-09,97.98705
1996-10,97.7656
1996-11,97.66673
1996-12,97.68415
1997-01,97.7742
1997-02,97.9035
1997-03,98.05833
1997-04,98.23851
1997-05,98.41245
1997-06,98.51326
1997-07,98.45196
1997-08,98.16549
1997-09,97.6368
1997-10,96.93217
1997-11,96.16892
1997-12,95.48505
1998-01,94.99638
1998-02,94.74821
1998-03,94.73747
1998-04,94.9315
1998-05,95.29494
1998-06,95.80359
1998-07,96.43503
1998-08,97.13818
1998-09,97.86272
1998-10,98.58327
1998-11,99.33765
1998-12,100.1708
1999-01,101.0893
1999-02,102.0464
1999-03,102.9781
1999-04,103.8211
1999-05,104.5384
1999-06,105.1133
1999-07,105.5247
1999-08,105.7395
1999-09,105.7632
1999-10,105.6228
1999-11,105.3658
1999-12,104.9972
2000-01,104.55
2000-02,104.0645
2000-03,103.6035
2000-04,103.1961
2000-05,102.8118
2000-06,102.4136
2000-07,101.9501
2000-08,101.3867
2000-09,100.7058
2000-10,99.9393
2000-11,99.15605
2000-12,98.42773
2001-01,97.82108
2001-02,97.39576
2001-03,97.17704
2001-04,97.10943
2001-05,97.1371
2001-06,97.24448
2001-07,97.45725
2001-08,97.77764
2001-09,98.20847
2001-10,98.77206
2001-11,99.4579
2001-12,100.2064
2002-01,100.9421
2002-02,101.5885
2002-03,102.079
2002-04,102.345
2002-05,102.3857
2002-06,102.2555
2002-07,102.0276
2002-08,101.7307
2002-09,101.3923
2002-10,101.0072
2002-11,100.5662
2002-12,100.0519
2003-01,99.48282
2003-02,98.94994
2003-03,98.53986
2003-04,98.29716
2003-05,98.2358
2003-06,98.35123
2003-07,98.60562
2003-08,98.94423
2003-09,99.29547
2003-10,99.61503
2003-11,99.88748
2003-12,100.1049
2004-01,100.2628
2004-02,100.3501
2004-03,100.3714
2004-04,100.3566
2004-05,100.3108
2004-06,100.2563
2004-07,100.205
2004-08,100.1488
2004-09,100.0823
2004-10,100.004
2004-11,99.93339
2004-12,99.88952
2005-01,99.89545
2005-02,99.94789
2005-03,100.0044
2005-04,100.049
2005-05,100.1133
2005-06,100.2324
2005-07,100.4122
2005-08,100.6365
2005-09,100.8664
2005-10,101.0665
2005-11,101.1967
2005-12,101.2323
2006-01,101.166
2006-02,101.0192
2006-03,100.8186
2006-04,100.5973
2006-05,100.3866
2006-06,100.231
2006-07,100.1753
2006-08,100.2188
2006-09,100.301
2006-10,100.3725
2006-11,100.4091
2006-12,100.4283
2007-01,100.4628
2007-02,100.54
2007-03,100.6605
2007-04,100.8304
2007-05,101.0272
