time,value
1993-02,44.41
1993-03,45.19
1993-04,44.03
1993-05,45.22
1993-06,45.06
1993-07,44.84
1993-08,46.56
1993-09,45.94
1993-10,46.84
1993-11,46.34
1993-12,46.59
1994-01,48.22
1994-02,46.81
1994-03,44.59
1994-04,45.09
1994-05,45.81
1994-06,44.47
1994-07,45.91
1994-08,47.66
1994-09,46.17
1994-10,47.48
1994-11,45.59
1994-12,45.56
1995-01,47.09
1995-02,49.02
1995-03,50.11
1995-04,51.59
1995-05,53.64
1995-06,54.41
1995-07,56.16
1995-08,56.41
1995-09,58.48
1995-10,58.31
1995-11,60.91
1995-12,61.48
1996-01,63.67
1996-02,63.88
1996-03,64.69
1996-04,65.39
1996-05,66.88
1996-06,67.11
1996-07,64.09
1996-08,65.33
1996-09,68.62
1996-10,70.84
1996-11,76.02
1996-12,73.84
1997-01,78.41
1997-02,79.16
1997-03,75.25
1997-04,80.09
1997-05,85.16
1997-06,88.31
1997-07,95.31
1997-08,90.38
1997-09,94.38
1997-10,92.06
1997-11,95.62
1997-12,97.06
1998-01,98.31
1998-02,105.12
1998-03,109.94
1998-04,111.34
1998-05,109.03
1998-06,113.31
1998-07,111.78
1998-08,96
1998-09,101.75
1998-10,110
1998-11,116.12
1998-12,123.31
1999-01,127.66
1999-02,123.56
1999-03,128.38
1999-04,133.25
1999-05,130.2
1999-06,137
1999-07,132.75
1999-08,132.06
1999-09,128.75
1999-10,137
1999-11,139.28
1999-12,146.88
2000-01,139.56
2000-02,137.44
2000-03,150.38
2000-04,145.09
2000-05,142.81
2000-06,145.28
2000-07,143
2000-08,152.34
2000-09,143.62
2000-10,142.95
2000-11,132.28
2000-12,131.19
2001-01,137.02
2001-02,123.95
2001-03,116.69
2001-04,124.91
2001-05,125.95
2001-06,122.6
2001-07,121.35
2001-08,114.15
2001-09,104.44
2001-10,105.8
2001-11,114.05
2001-12,114.3
2002-01,113.18
2002-02,111.15
2002-03,114.52
2002-04,107.86
2002-05,107.22
2002-06,98.96
2002-07,91.16
2002-08,91.78
2002-09,81.79
2002-10,88.52
2002-11,93.98
2002-12,88.23
2003-01,86.06
2003-02,84.9
2003-03,84.74
2003-04,91.91
2003-05,96.95
2003-06,97.63
2003-07,99.39
2003-08,101.44
2003-09,99.95
2003-10,105.3
2003-11,106.45
2003-12,111.28
2004-01,113.48
2004-02,115.02
2004-03,113.1
2004-04,110.96
2004-05,112.86
2004-06,114.53
2004-07,110.84
2004-08,111.11
2004-09,111.76
2004-10,113.2
2004-11,117.89
2004-12,120.87
2005-01,118.16
2005-02,120.63
2005-03,117.96
2005-04,115.75
2005-05,119.48
2005-06,119.18
2005-07,123.74
2005-08,122.58
2005-09,123.04
2005-10,120.13
2005-11,125.41
2005-12,124.51
2006-01,127.5
2006-02,128.23
2006-03,129.83
2006-04,131.47
2006-05,127.51
2006-06,127.23
2006-07,127.85
2006-08,130.64
2006-09,133.58
2006-10,137.79
