time,value
1970-01,101.1
1970-02,101
1970-03,100.8
1970-04,100.7
1970-05,100.5
1970-06,100.3
1970-07,100.2
1970-08,100
1970-09,99.8
1970-01,99.6
1970-11,99.4
1970-12,99.3
1971-01,99.1
1971-02,99.3
1971-03,99.1
1971-04,99.5
1971-05,98.8
1971-06,99.1
1971-07,98.7
1971-08,98.4
1971-09,97.3
1971-01,97.1
1971-11,96.4
1971-12,95.9
1972-01,95.2
1972-02,94.8
1972-03,94.9
1972-04,95
1972-05,95.7
1972-06,96
1972-07,96.8
1972-08,97.8
1972-09,99.7
1972-01,101.4
1972-11,103.1
1972-12,104.1
1973-01,106.3
1973-02,108.1
1973-03,110.5
1973-04,110.7
1973-05,110.9
1973-06,110.3
1973-07,110.9
1973-08,111.5
1973-09,110.8
1973-01,109.8
1973-11,108.2
1973-12,107.1
1974-01,106.6
1974-02,105.2
1974-03,103.5
1974-04,101.3
1974-05,99.7
1974-06,98.6
1974-07,97.9
1974-08,96.7
1974-09,96.2
1974-01,95.6
1974-11,95.9
1974-12,97.1
1975-01,96
1975-02,96.1
1975-03,95.9
1975-04,96.9
1975-05,98.4
1975-06,99.2
1975-07,99.8
1975-08,99.5
1975-09,99.1
1975-01,99.8
1975-11,99.8
1975-12,100
1976-01,100.3
1976-02,100.8
1976-03,101.7
1976-04,102.3
1976-05,102.1
1976-06,101.4
1976-07,101
1976-08,100.9
1976-09,100.3
1976-01,99.9
1976-11,99.5
1976-12,99.6
1977-01,99.4
1977-02,99
1977-03,98.3
1977-04,98.3
1977-05,98.4
1977-06,99.7
1977-07,100.3
1977-08,100.8
1977-09,100.5
1977-01,100.5
1977-11,101
1977-12,101.4
1978-01,102.1
1978-02,103
1978-03,103.7
1978-04,104.2
1978-05,104.4
1978-06,103.7
1978-07,103.4
1978-08,103.5
1978-09,103.8
1978-01,103.6
1978-11,103.7
1978-12,103.5
1979-01,104.4
1979-02,103.7
1979-03,102.9
1979-04,101.2
1979-05,99.4
1979-06,98.9
1979-07,98.6
1979-08,98.3
1979-09,98.6
1979-01,98.4
1979-11,97.6
1979-12,97.2
1980-01,97.2
1980-02,97.8
1980-03,98.1
1980-04,98.7
1980-05,98.6
1980-06,99.2
1980-07,99
1980-08,99
1980-09,98.7
1980-01,98.8
1980-11,99
1980-12,99.2
1981-01,99.9
1981-02,100.3
1981-03,100.6
1981-04,100.8
1981-05,101.3
1981-06,101.8
1981-07,101.7
1981-08,101.7
1981-09,101.6
1981-01,101.4
1981-11,101
1981-12,100.4
1982-01,100
1982-02,99.8
1982-03,99.8
1982-04,99.6
1982-05,99.4
1982-06,99
1982-07,99.3
1982-08,99.5
1982-09,99.8
1982-01,99.9
1982-11,100.2
1982-12,100.3
1983-01,101
1983-02,101.1
1983-03,101.2
1983-04,100.8
1983-05,101.5
1983-06,101.8
1983-07,101.9
1983-08,101.5
1983-09,101.4
1983-01,101.3
1983-11,101.2
1983-12,101
1984-01,101
1984-02,100.7
1984-03,100.7
1984-04,100.6
1984-05,100.7
1984-06,100.4
1984-07,100.2
1984-08,100.1
1984-09,99.5
1984-01,99.6
1984-11,100.2
1984-12,100.3
1985-01,100.1
1985-02,99.9
1985-03,100
1985-04,100.1
1985-05,99.6
1985-06,99.4
1985-07,99.4
1985-08,99.6
1985-09,99.7
1985-01,99.6
1985-11,99.7
1985-12,99.8
1986-01,99.9
1986-02,99.9
1986-03,100.1
1986-04,100.5
1986-05,100.7
1986-06,100.9
1986-07,100.8
1986-08,100.9
1986-09,100.9
1986-01,101
1986-11,100.8
1986-12,100.7
1987-01,100.5
1987-02,100.6
1987-03,100.7
1987-04,100.6
1987-05,100.5
1987-06,100.2
1987-07,100.3
1987-08,100.1
1987-09,100.3
1987-01,100.4
1987-11,100.6
1987-12,100.9
1988-01,100.7
1988-02,100.7
1988-03,100.5
1988-04,100.4
1988-05,100.3
1988-06,100
1988-07,100
1988-08,100.2
1988-09,100.1
1988-01,99.6
1988-11,99
1988-12,98.7
1989-01,99
1989-02,99.2
1989-03,99.4
1989-04,99.7
1989-05,100
1989-06,100.3
1989-07,100.4
1989-08,100.2
1989-09,100.3
1989-01,100.4
1989-11,100.4
1989-12,100.3
1990-01,100.4
1990-02,100.3
1990-03,100.1
1990-04,100
1990-05,99.8
1990-06,99.8
1990-07,100.1
1990-08,100.5
1990-09,101
1990-01,101.4
1990-11,101.5
1990-12,101.4
1991-01,101.1
1991-02,100.9
1991-03,100.8
1991-04,100.6
1991-05,100.7
1991-06,100.7
1991-07,100.8
1991-08,100.4
1991-09,100.1
1991-01,99.9
1991-11,99.6
1991-12,99.3
1992-01,98.9
1992-02,98.7
1992-03,98.8
1992-04,98.4
1992-05,98.5
1992-06,98.1
1992-07,98
1992-08,97.5
1992-09,97.4
1992-01,97.2
1992-11,97.8
1992-12,98.2
1993-01,98.5
1993-02,98.3
1993-03,98.2
1993-04,98.3
1993-05,98.3
1993-06,98.6
1993-07,98.5
1993-08,98.4
1993-09,98
1993-01,98.4
1993-11,99.1
1993-12,100
1994-01,100.8
1994-02,101.6
1994-03,102.1
1994-04,102.3
1994-05,102.3
1994-06,102.4
1994-07,102.4
1994-08,102.5
1994-09,103
1994-01,103.6
1994-11,104.1
1994-12,104.9
1995-01,105
1995-02,105.5
1995-03,104.9
1995-04,105.2
1995-05,104.9
1995-06,104.9
1995-07,105.6
1995-08,105.7
1995-09,105.7
1995-01,105.3
1995-11,105.4
1995-12,105.1
1996-01,104.6
1996-02,104.1
1996-03,104.3
1996-04,103.8
1996-05,103.5
1996-06,102.4
1996-07,102.3
1996-08,102
1996-09,101.1
1996-01,100.1
1996-11,99.6
1996-12,100
1997-01,99.8
1997-02,100.1
1997-03,100.4
1997-04,101.1
1997-05,100.9
1997-06,101.1
1997-07,101
1997-08,101.2
1997-09,100.7
1997-01,100.1
1997-11,98.8
1997-12,95.8
1998-01,92.8
1998-02,91.1
1998-03,91.2
1998-04,92
1998-05,92.2
1998-06,92
1998-07,92.3
1998-08,93
1998-09,93.4
1998-01,94
1998-11,94.6
1998-12,95.5
1999-01,96.6
1999-02,98
1999-03,99.2
1999-04,100.2
1999-05,101.1
1999-06,102.7
1999-07,103.9
1999-08,104.6
1999-09,104.6
1999-01,104.2
1999-11,104.6
1999-12,104.5
2000-01,105.6
2000-02,105.6
2000-03,105.6
2000-04,104.9
2000-05,104.5
2000-06,104.6
2000-07,104.4
2000-08,104.9
2000-09,104
2000-01,102.3
2000-11,99.5
2000-12,98.1
2001-01,96.5
2001-02,96.2
2001-03,96.3
2001-04,96.4
2001-05,96.9
2001-06,97
2001-07,96.7
2001-08,96.4
2001-09,96.4
2001-01,96.7
2001-11,97.9
2001-12,99.3
2002-01,101.2
2002-02,102.5
2002-03,104
2002-04,104.3
2002-05,104
2002-06,103
2002-07,102.3
2002-08,101.8
2002-09,101.3
2002-01,100.4
2002-11,100.3
2002-12,100.4
2003-01,100.2
2003-02,99.9
2003-03,99.7
2003-04,99.3
2003-05,99
2003-06,99.4
2003-07,99.3
2003-08,99.8
2003-09,99.9
2003-01,100.4
2003-11,100.3
2003-12,100.3
2004-01,100.6
2004-02,100.8
2004-03,100.9
2004-04,100.9
2004-05,100.5
2004-06,100.2
2004-07,99.8
2004-08,99.4
2004-09,99.3
2004-01,99.3
2004-11,99.2
2004-12,99
2005-01,98.8
2005-02,99.1
2005-03,99.6
2005-04,99.6
2005-05,99.3
2005-06,98.8
2005-07,99.1
2005-08,99.5
2005-09,99.7
2005-01,99.8
2005-11,100.1
2005-12,100.4
2006-01,100.9
2006-02,101
2006-03,101
2006-04,100.7
2006-05,100.8
2006-06,100.4
2006-07,99.9
2006-08,99.6
2006-09,100.1
2006-01,100.6
2006-11,100.9
2006-12,100.7
2007-01,100.7
2007-02,100.8
2007-03,100.8
2007-04,100.9
2007-05,100.9
2007-06,101.2
2007-07,101.7
2007-08,101.8
2007-09,101.8
2007-01,101.6
2007-11,101.7
2007-12,101.5
2008-01,101.1
2008-02,100.5
2008-03,100
2008-04,99.8
