date,gold,commodity,k10bond,kospi
2000-01-03,,-0.0016,,
2000-01-04,-0.0201,-0.0096,,0.0301
2000-01-05,-0.0057,-0.0096,,-0.0687
2000-01-06,0.0011,-0.0005,,-0.0259
2000-01-07,0.0018,-0.0098,,-0.0126
2000-01-10,-0.0007,0.0068,,0.0407
2000-01-11,0.006,0.0191,,-0.006
2000-01-12,-0.0025,0.0119,,-0.0268
2000-01-13,0.005,0.0071,,-0.0041
2000-01-14,-0.0007,0.025,,-0.0032
2000-01-17,,,,0.0372
2000-01-18,0.0166,0.0187,,-0.0018
2000-01-19,0.0042,0.005,,-0.0436
2000-01-20,-0.0035,0.0069,,0.0076
2000-01-21,0.0017,0.0007,,-0.0219
2000-01-24,-0.0055,-0.0082,,0.0017
2000-01-25,-0.0049,0.0109,,-0.0384
2000-01-26,0,-0.0115,,-0.0064
2000-01-27,0.0028,-0.0077,,0.0268
2000-01-28,-0.0143,-0.0028,,0.0357
2000-01-31,0.0007,0.0094,,0.0023
2000-02-01,-0.0025,0.0144,,-0.016
2000-02-02,0.0085,-0.0117,,0.016
2000-02-03,0.0081,0.0088,,0.007
2000-02-04,0.0808,0.0167,,
2000-02-07,-0.0274,-0.0152,,0.0241
2000-02-08,-0.0089,-0.0162,,-0.0122
2000-02-09,0.0231,0.0131,,0.0154
2000-02-10,0.033,0.0134,,-0.0101
2000-02-11,-0.0161,-0.0021,,-0.0134
2000-02-14,-0.0084,0.0101,,-0.0444
2000-02-15,-0.022,-0.0016,,-0.0342
2000-02-16,0.0027,0.0028,,-0.0002
2000-02-17,-0.0036,-0.011,,0.0205
2000-02-18,0.0126,-0.0044,,-0.0205
2000-02-21,,,,-0.0385
2000-02-22,0.0013,0.0039,,0.0056
2000-02-23,-0.017,0.0041,,0.0361
2000-02-24,-0.0043,0.0101,,-0.0151
2000-02-25,-0.0204,0.005,,-0.003
2000-02-28,-0.0017,-0.0019,,-0.0529
2000-02-29,-0.0003,0.0083,,0.0114
2000-03-01,-0.0031,0.0301,,
2000-03-02,-0.0113,-0.0015,,0.08
2000-03-03,0.0021,-0.001,,0.0002
2000-03-06,-0.0031,0.0121,,0.0162
2000-03-07,0.0149,0.0258,,-0.0022
2000-03-08,-0.0113,-0.0547,,0.0095
2000-03-09,0.008,0.0056,,-0.0342
2000-03-10,-0.0089,-0.01,,0.0077
2000-03-13,0.0052,0.0002,,-0.0412
2000-03-14,-0.0062,-0.004,,-0.0093
2000-03-15,0.0014,-0.0131,,-0.0109
2000-03-16,-0.009,0.0039,,0.0044
2000-03-17,-0.007,-0.0016,,0.0171
2000-03-20,0.0053,-0.0311,,-0.0059
2000-03-21,0.0147,0.0058,,0.0152
2000-03-22,-0.0069,-0.0039,,0.022
2000-03-23,-0.0101,-0.002,,-0.0168
2000-03-24,-0.0007,0.0113,,0.0249
2000-03-27,-0.0162,-0.0008,,-0.0028
2000-03-28,-0.0032,-0.0083,,0.0052
2000-03-29,-0.0122,-0.0169,,0.0193
2000-03-30,0.0011,0.0054,,-0.0204
2000-03-31,0.0083,0.0091,,-0.0326
2000-04-03,-0.0029,-0.0107,,-0.0168
2000-04-04,0.0227,-0.0251,,-0.0192
2000-04-05,-0.0102,0.0085,,
2000-04-06,-0.0039,-0.0057,,-0.0311
2000-04-07,-0.0004,-0.0101,,0.0411
2000-04-10,0.0057,-0.025,,0.0392
2000-04-11,-0.0007,0.0015,,-0.0174
2000-04-12,0,0.031,,-0.0211
2000-04-13,-0.0004,0.0005,,
2000-04-14,0.0053,-0.0106,,-0.0432
2000-04-17,-0.0018,0.0077,,-0.1163
2000-04-18,-0.0039,0.0062,,0.0559
2000-04-19,-0.0018,0.0203,,0.0104
2000-04-20,-0.0029,0.0004,,0.0082
2000-04-21,,,,0.0078
2000-04-24,-0.0011,0.0036,,-0.0255
2000-04-25,-0.0047,-0.0105,,-0.0139
2000-04-26,-0.0093,-0.0128,,-0.0325
2000-04-27,0.0047,0.009,,-0.0297
2000-04-28,-0.0134,0.0057,,0.0481
2000-05-01,0.0004,0.0111,,
2000-05-02,0.0081,0.0232,,0.0375
2000-05-03,0.0076,-0.0077,,0.0002
2000-05-04,0.0076,0.0063,,-0.002
2000-05-05,-0.0039,-0.0015,,
2000-05-08,-0.0075,0.0147,,0.0252
2000-05-09,0.0022,0.0115,,-0.0122
2000-05-10,0.0025,0.0004,,-0.0018
2000-05-11,-0.0076,0.0177,,
2000-05-12,0.0015,0.0074,,-0.0253
2000-05-15,-0.0014,0.0039,,-0.0157
2000-05-16,-0.0004,0.0028,,0.0248
2000-05-17,-0.0087,0.0014,,-0.0262
2000-05-18,-0.0004,0.0141,,-0.0196
2000-05-19,0.004,-0.0035,,0.0249
2000-05-22,0.0062,-0.018,,-0.0535
2000-05-23,-0.0051,0.0018,,-0.0171
2000-05-24,-0.0033,0.024,,-0.0071
2000-05-25,-0.011,0.0113,,0.0364
2000-05-26,0.0063,-0.0057,,-0.0613
2000-05-29,,,,-0.0011
2000-05-30,0.0004,0.0002,,0.0539
2000-05-31,-0.0022,-0.02,,0.0588
2000-06-01,0.0029,0.0134,,0.009
2000-06-02,0.0327,0.0047,,0.0301
2000-06-05,0.0142,-0.0047,,0.0441
2000-06-06,0.0126,-0.0001,,
2000-06-07,-0.0062,-0.0086,,0.0357
2000-06-08,-0.0111,0.0007,,-0.0273
2000-06-09,-0.0014,0.006,,0.0454
2000-06-12,0.0102,0.0159,,0.0113
2000-06-13,-0.0035,0.0087,,-0.0489
2000-06-14,0.0214,-0.0021,,0.0184
2000-06-15,-0.0069,0.0011,,-0.059
2000-06-16,-0.0031,-0.0158,,-0.0154
2000-06-19,-0.0107,-0.0153,,-0.0048
2000-06-20,0.0004,0.018,,0.0396
2000-06-21,0.0003,0.0174,,-0.0044
2000-06-22,-0.0024,0.0185,,0.0005
2000-06-23,-0.0084,-0.0026,,-0.0042
2000-06-26,0.0032,-0.0079,,0.0162
2000-06-27,0.0071,0.0098,,0.0231
2000-06-28,0.0242,-0.0071,,0.0109
2000-06-29,-0.0109,0.0149,,0.0002
2000-06-30,0.0028,-0.0089,,0.0028
2000-07-03,,-0.0013,,0.017
2000-07-04,,,,-0.02
2000-07-05,-0.0214,-0.0369,,0.0145
2000-07-06,-0.0025,-0.0127,,0.0087
2000-07-07,0,0.0084,,0.0049
2000-07-10,0.0014,-0.0103,,0.0116
2000-07-11,-0.0049,0.0015,,-0.0172
2000-07-12,-0.0064,0.0013,,0.0035
2000-07-13,-0.0014,0.0138,,0.0071
2000-07-14,0.0039,-0.0067,,-0.021
2000-07-17,0.0082,-0.0122,,
2000-07-18,-0.0032,0.0186,,-0.0189
2000-07-19,-0.0124,-0.0097,,-0.0185
2000-07-20,0.0029,-0.0084,,-0.0231
2000-07-21,0.0011,-0.0199,,0.0053
2000-07-24,-0.0046,-0.0168,,-0.0577
2000-07-25,0.0004,-0.0033,,-0.0003
2000-07-26,0.0018,0.0018,,0.0084
2000-07-27,-0.0029,0.0064,,-0.0217
2000-07-28,-0.0032,0.0036,,-0.0481
2000-07-31,-0.0032,-0.0149,,0.0192
2000-08-01,0.0004,0.0093,,0.0299
2000-08-02,-0.0014,0.0148,,0.0017
2000-08-03,-0.0112,0.0055,,-0.0086
2000-08-04,-0.0029,0.0204,,-0.0167
2000-08-07,0.0018,-0.0176,,-0.0485
2000-08-08,-0.0011,0.0058,,-0.0141
2000-08-09,-0.0044,0.0189,,0.0663
2000-08-10,0.0015,0.016,,0.0268
2000-08-11,0.0114,-0.0018,,-0.0097
2000-08-14,-0.0025,0.0046,,0.0153
2000-08-15,0.0007,-0.0039,,
2000-08-16,0.0098,0.0052,,0.0244
2000-08-17,0.0014,0.0074,,-0.0102
2000-08-18,-0.0032,0.0064,,-0.0204
2000-08-21,-0.0061,0.0146,,-0.0079
2000-08-22,-0.0058,-0.0172,,0.0222
2000-08-23,-0.0088,0.0185,,-0.0255
2000-08-24,0.0066,-0.0055,,-0.0013
2000-08-25,0.0044,0.0088,,0.0152
2000-08-28,-0.0004,0.0134,,0.0028
2000-08-29,-0.0022,0.0034,,-0.0003
2000-08-30,0.0018,0.012,,-0.0173
2000-08-31,0.0161,-0.0013,,-0.0422
2000-09-01,-0.0047,0.0037,,0.0052
2000-09-04,,,,-0.0157
2000-09-05,-0.0043,0.0126,,-0.003
2000-09-06,-0.0058,0.017,,-0.0038
2000-09-07,-0.0007,0.0094,,-0.03
2000-09-08,-0.0026,-0.0294,,-0.0041
2000-09-11,-0.0007,0.0257,,
2000-09-12,-0.0007,-0.0147,,
2000-09-13,-0.0004,-0.0145,,
2000-09-14,-0.0015,0.0035,,-0.0054
2000-09-15,-0.0004,0.0215,,-0.0337
2000-09-18,-0.0033,0.0128,,-0.0806
2000-09-19,0.0018,-0.01,,-0.0111
2000-09-20,-0.0107,0.0007,,0.0611
2000-09-21,0.0048,-0.0157,,-0.0166
2000-09-22,0.0055,-0.0221,,-0.0717
2000-09-25,0.0085,-0.0122,,0.0567
2000-09-26,-0.0007,-0.0001,,0.0051
2000-09-27,0.0164,0.0027,,0.0199
2000-09-28,-0.0101,-0.0276,,0.0109
2000-09-29,-0.0073,0.0104,,0.0122
2000-10-02,-0.0018,0.0255,,-0.0391
2000-10-03,-0.0055,-0.0003,,
2000-10-04,-0.0048,-0.0108,,0.0156
2000-10-05,0.0011,-0.0171,,0.014
2000-10-06,-0.0048,0.0006,,0.0034
2000-10-09,0.003,0.0195,,-0.0323
2000-10-10,0.0085,0.0265,,-0.0014
2000-10-11,-0.007,0.0113,,-0.053
2000-10-12,0.0218,0.0423,,-0.0403
2000-10-13,-0.0145,-0.031,,-0.0189
2000-10-16,-0.0033,-0.0304,,0.0486
2000-10-17,-0.0015,-0.0012,,-0.0677
2000-10-18,-0.003,-0.0046,,0.0026
2000-10-19,-0.0007,-0.0158,,0.0017
2000-10-20,0.0041,0.014,,0.0601
2000-10-23,-0.0041,0.0132,,-0.0322
2000-10-24,0,-0.0091,,0.0316
2000-10-25,-0.0144,-0.0138,,-0.005
2000-10-26,-0.0049,0.0049,0,-0.0344
2000-10-27,-0.0019,-0.0192,0.000316823,-0.0159
2000-10-28,,,0.000316823,
2000-10-30,-0.0004,-0.0018,0.000316054,-0.0206
2000-10-31,0.0023,-0.0023,,0.0193
2000-11-01,-0.0038,0.0113,0.000313363,0.0666
2000-11-02,0.0019,-0.0071,0.000314132,0.017
2000-11-03,0.0008,0.0077,,0.0041
2000-11-06,-0.0004,0.0017,,-0.0067
2000-11-07,-0.0008,0.0136,,-0.0059
2000-11-08,0.0026,0.0038,0.000314901,0.0086
2000-11-09,0.003,0.0135,0.000307598,0.0046
2000-11-10,-0.0049,-0.0011,,0.0081
2000-11-13,-0.0008,0.0086,0.000291069,-0.0464
2000-11-14,0.0023,0.0146,,0.0261
2000-11-15,0.0008,0.0202,,0.0081
2000-11-16,0.0026,-0.0149,0.000297219,-0.0044
2000-11-17,-0.0004,0.0148,,-0.0068
2000-11-20,0.0023,0.0088,,-0.0251
2000-11-21,-0.0023,0.0028,,-0.0111
2000-11-22,0.0023,0.0063,,-0.0172
2000-11-23,,,,-0.0154
2000-11-24,,0.001,,0.0321
2000-11-27,0.0143,-0.0037,,0.0437
2000-11-28,-0.0011,-0.0263,0.000297219,-0.0309
2000-11-29,-0.0126,0.0049,0.000296835,-0.0382
2000-11-30,0.0139,0.0003,0.000297988,-0.014
2000-12-01,-0.0052,-0.0252,0.000293375,0.0103
2000-12-04,0.0074,0.0098,0.000272234,-0.0247
2000-12-05,-0.0011,-0.0254,0.000271849,0.0304
2000-12-06,0.0144,0.0305,0.000267236,0.0018
2000-12-07,-0.004,-0.0142,,0.0114
2000-12-08,-0.0037,-0.0129,0.000263777,0.0211
2000-12-11,-0.0073,0.0313,,0.0374
2000-12-12,0.0004,-0.0293,0.000279537,-0.0211
2000-12-13,-0.0063,-0.0294,0.00028069,0.0272
2000-12-14,0.0015,-0.0216,0.000273387,-0.0188
2000-12-15,0.0052,0.0312,0.000272234,-0.0244
2000-12-18,-0.0026,0.0146,0.000274924,0.0099
2000-12-19,0,-0.002,,-0.0157
2000-12-20,0.0104,-0.0321,0.000276846,-0.0313
2000-12-21,0.0044,0.0113,0.000271888,-0.0045
2000-12-22,0,-0.0035,,-0.0221
2000-12-26,0.0015,0.0111,0.000271657,0.008
2000-12-27,0.004,0.0054,0.000280883,
2000-12-28,-0.0127,-0.0093,,
2000-12-29,0.0011,0.0267,0.000279153,
2001-01-02,-0.0132,-0.0309,0.000279153,0.0324
2001-01-03,-0.0015,0.0053,,0.0009
2001-01-04,-0.0026,0.0197,0.000264161,0.0702
2001-01-05,0.0026,0.0036,0.000257626,0.0409
2001-01-08,0,-0.0063,0.000254551,0.01
2001-01-09,-0.0019,0.0006,0.000257242,0.0056
2001-01-10,-0.0105,0.0065,0.000256088,-0.0493
2001-01-11,-0.0026,-0.0127,0.000255704,0.0017
2001-01-12,-0.0004,-0.0045,0.00025186,0.0464
2001-01-15,,,0.000255704,0.0189
2001-01-16,-0.0023,-0.0112,0.000253782,0.0074
2001-01-17,-0.0004,-0.0367,0.000253782,-0.0126
2001-01-18,0.0038,0.0195,0.000249938,0.0138
2001-01-19,0.0004,0.0272,0.000246862,0.026
2001-01-22,0.0079,-0.0042,,0.0124
2001-01-23,-0.0011,-0.0141,,
2001-01-24,-0.0068,-0.0086,,
2001-01-25,0.0008,0.0068,,
2001-01-26,-0.0064,0.0058,,-0.0569
2001-01-29,0,-0.03,,0.0081
2001-01-30,0.0103,-0.001,,-0.0087
2001-01-31,0.0004,-0.0163,0.00025186,0.0449
2001-02-01,0.0109,0.0364,,-0.0091
2001-02-02,-0.0052,0.0327,0.000249938,-0.0062
2001-02-05,-0.0071,-0.0333,0.000249938,-0.0482
2001-02-06,-0.0072,0.0005,0.000246093,0.0128
2001-02-07,-0.0019,0.0244,,-0.0177
2001-02-08,-0.0103,0.0018,0.000244556,0.0267
2001-02-09,-0.0008,-0.0101,0.000238405,0.0066
2001-02-12,0.0031,-0.0178,0.00023456,0.0063
2001-02-13,-0.0015,0.0032,0.000244171,-0.0007
2001-02-14,-0.0035,-0.0174,0.000229947,0.0084
2001-02-15,-0.0166,-0.0137,0.000228794,-0.0003
2001-02-16,0.0122,0.0043,0.000233791,0.0021
2001-02-19,,,,-0.0136
2001-02-20,-0.0081,-0.0099,,0.0202
2001-02-21,0.0082,-0.0084,0.000236483,-0.0233
2001-02-22,0.0012,0.0017,,-0.0187
2001-02-23,0.0093,0.0041,0.00028069,0.0002
2001-02-26,0.0188,-0.0103,,0.0031
2001-02-27,0.006,0.0011,,-0.0132
2001-02-28,-0.0022,-0.009,0.000263392,0.0009
2001-03-01,-0.006,0.0037,,
2001-03-02,-0.0117,0.0065,0.000249938,-0.0323
2001-03-05,0.0015,0.0166,,0.0106
2001-03-06,-0.0099,-0.0038,,0.0049
2001-03-07,0.0058,0.01,,0.0009
2001-03-08,0.0153,-0.0119,,0.0187
2001-03-09,0.0203,-0.012,0.000276846,-0.0233
2001-03-12,0.003,0.0013,0.000276846,-0.0366
2001-03-13,-0.0177,-0.0108,,-0.0313
2001-03-14,-0.0161,-0.025,0.000273002,0.029
2001-03-15,-0.0095,-0.0025,0.000257626,-0.0027
2001-03-16,-0.0073,0.0018,0.000263392,-0.0058
2001-03-19,0.0066,-0.009,,-0.0081
2001-03-20,0.0027,0.0023,,-0.0051
2001-03-21,0.0054,0.0054,0.00027108,0.0019
